BEATS,LAT,LONG,BSV,WSV,HSV,ASV,OSV,BAV,WAV,HAV,AAV,OAV,BSP,WSP,HSP,ASP,OSP,BAP,WAP,HAP,AAP,OAP
01X,37.79832501,-122.2722305,776.5957447,104.9723757,157.5562701,29.15254237,107.9812207,69.14893617,2.209944751,9.646302251,0,4.694835681,212.7659574,13.25966851,38.585209,4.745762712,0,148.9361702,9.944751381,22.50803859,4.06779661,0
02X,37.80552105,-122.2866993,547.7916941,211.2676056,242.8940568,59.44517834,238.9937107,70.53394858,14.08450704,10.33591731,2.642007926,0,63.94199077,16.43192488,15.50387597,2.642007926,6.289308176,50.75807515,7.042253521,15.50387597,2.642007926,0
02Y,37.80641613,-122.2972641,315.1702786,50.29239766,121.0898083,94.11764706,128.0898876,38.39009288,6.432748538,6.054490414,0,0,39.00928793,4.093567251,5.045408678,0,4.494382022,22.91021672,2.339181287,0,0,0
03X,37.80087857,-122.270037,1181.528662,244.9494949,279.3650794,51.17324014,210.8262108,101.910828,5.050505051,15.87301587,0.249625562,2.849002849,404.4585987,30.3030303,50.79365079,4.742885671,8.547008547,229.2993631,12.62626263,12.6984127,2.246630055,0
03Y,37.80239275,-122.2751274,522.3880597,144,192.3076923,47.49679076,179.1044776,50.74626866,0,4.273504274,0,0,208.9552239,14,25.64102564,0,7.462686567,152.238806,12,25.64102564,0,7.462686567
04X,37.80840825,-122.26995,227.673844,94.17528579,150.7150715,50.55034651,238.0038388,16.23720438,0.272182907,5.500550055,0.407664085,3.838771593,34.94528768,7.621121394,11.00110011,3.668976763,5.75815739,21.17896223,3.53837779,7.700770077,3.261312678,3.838771593
05X,37.81240269,-122.2812487,250.7809014,78.29977629,111.2781955,51.72413793,127.2727273,36.59080768,6.711409396,6.015037594,0,3.636363636,30.34359661,3.728560776,0,3.831417625,7.272727273,20.08032129,2.98284862,0,1.915708812,3.636363636
05Y,37.81412061,-122.2926258,74.4047619,27.44425386,50.97087379,16.43192488,27.02702703,13.0952381,1.715265866,9.708737864,0,3.378378378,9.523809524,6.861063465,4.854368932,0,0,4.761904762,5.145797599,4.854368932,0,0
06X,37.82096746,-122.2716719,347.937484,36.47762895,41.80064309,78.7037037,27.32707088,61.23494748,3.419777714,2.296738631,2.314814815,2.561912895,69.4337689,4.274722143,4.134129536,13.88888889,2.561912895,48.68050218,2.564833286,2.756086357,9.259259259,0
07X,37.82055088,-122.2795055,458.1757041,32.74853801,68.61063465,35.31598513,31.74603175,103.4047919,3.50877193,14.57975986,1.858736059,0,127.3644388,14.81481481,24.87135506,39.03345725,5.772005772,81.12652375,10.13645224,22.29845626,37.17472119,5.772005772
08X,37.8172383,-122.2638986,266.4473684,70.2049986,88,60.02475248,169.1176471,32.89473684,2.808199944,7.111111111,1.856435644,4.901960784,57.15460526,9.267059815,2.666666667,3.094059406,7.352941176,31.66118421,2.808199944,0.888888889,2.475247525,4.901960784
09X,37.82547677,-122.2531807,599.5575221,40.39543208,83.06010929,86.78881389,104.4487427,35.39823009,0.170444861,4.371584699,0,0,24.33628319,2.215783194,3.278688525,0.964320154,1.934235977,8.849557522,0.681779444,3.278688525,0.964320154,1.934235977
10X,37.83955554,-122.2767038,213.6836886,23.37288745,36.61971831,33.95061728,54.79452055,23.30193356,2.517080187,4.225352113,3.086419753,2.739726027,19.335647,0.719165768,5.633802817,1.543209877,2.739726027,12.89043133,0.359582884,0,0,2.739726027
10Y,37.83635185,-122.2714226,440.7582938,60.09615385,81.68028005,225,81.9047619,24.88151659,1.442307692,5.834305718,5,0,23.69668246,4.807692308,5.834305718,5,0,7.701421801,3.365384615,4.667444574,0,0
11X,37.84005008,-122.2664679,187.1345029,39.87240829,56.67276051,82.29426434,192.3076923,8.771929825,0.637958533,1.828153565,0,0,9.502923977,1.913875598,1.828153565,0,7.692307692,6.578947368,0.637958533,1.828153565,0,7.692307692
12X,37.8340065,-122.2611625,224.0921169,39.83445422,40.13015184,41.53005464,96.77419355,27.45792737,1.293326436,3.253796095,1.092896175,2.93255132,27.45792737,3.879979307,1.084598698,0,5.865102639,15.94331267,2.586652871,1.084598698,0,5.865102639
12Y,37.84225574,-122.255163,144.7902571,19.9825153,31.94888179,26.95871946,83.60128617,12.17861976,0.124890721,0,0,0,17.59133965,0.999125765,2.129925453,0.842459983,3.215434084,6.765899865,0.499562882,1.064962726,0,3.215434084
13X,37.83787559,-122.2332971,60.38647343,18.48428835,21.18003026,18.2767624,34.48275862,9.661835749,0.205380982,1.512859304,0,0,0,0,1.512859304,0,0,0,0,0,0,0
13Y,37.83883564,-122.2182468,22.72727273,4.444444444,2.197802198,2.087682672,49.58677686,4.545454545,0,0,0,0,18.18181818,0,2.197802198,0,0,4.545454545,0,0,0,0
13Z,37.82997354,-122.2111867,52.63157895,23.51738241,101.5625,14.19213974,78.94736842,0,0,11.71875,0,0,2.770083102,0,0,0,0,0,0,0,0,0
14X,37.81026468,-122.255267,76.28128725,34.02714932,42.39054899,48.52160728,76.47907648,6.257449344,0.7239819,2.084781098,1.516300227,2.886002886,12.51489869,2.352941176,2.084781098,4.548900682,2.886002886,4.767580453,0.7239819,0.694927033,4.548900682,2.886002886
14Y,37.81264545,-122.2478132,48.01324503,14.22222222,46.80851064,11.66180758,23.07692308,4.966887417,0,0,0,0,4.966887417,0.444444444,0,2.915451895,0,3.311258278,0.444444444,0,2.915451895,0
15X,37.79927758,-122.2426245,92.64305177,18.54820243,30.37249284,29.52308857,28.46054334,4.904632153,0.915960614,2.29226361,0.757002271,1.293661061,15.25885559,1.602931074,9.169054441,1.135503407,0,4.359673025,0.68697046,0.573065903,0.378501136,0
16X,37.80800391,-122.2355787,70.51282051,17.85021343,61.8556701,24.28256071,125,8.547008547,1.164144354,10.30927835,0,0,2.136752137,0.776096236,0,0,20.83333333,0,0.776096236,0,0,20.83333333
16Y,37.80624813,-122.2240454,58.2010582,16.04621309,21.90923318,14.67268623,32.46753247,5.291005291,0,1.564945227,1.128668172,0,2.645502646,0.855798032,0,0,0,2.645502646,0.427899016,0,0,0
17X,37.79435053,-122.2448045,91.68184578,11.60409556,21.51898734,11.69826543,6.772009029,15.17911354,0,1.898734177,0.403388463,0,13.96478446,0.682593857,1.898734177,1.210165389,0,7.893139041,0.682593857,0.632911392,1.210165389,0
17Y,37.80050175,-122.2383837,92.78350515,14.74926254,30.52208835,8.544087491,16.74641148,6.560449859,0.421407501,2.409638554,0.3417635,0,15.93252109,1.264222503,2.409638554,1.025290499,0,11.24648547,1.264222503,0.803212851,0,0
18X,37.79017043,-122.2393472,265.3876898,28.08112324,53.59136584,26.50063857,8.510638298,67.14628297,5.460218409,8.18756978,1.277139208,0.531914894,22.38209432,2.340093604,4.09378489,0.638569604,0.531914894,15.98721023,2.340093604,2.977298102,0.319284802,0
18Y,37.79380935,-122.2334012,47.76511832,5.488474204,25.21566025,9.686793671,6.015037594,7.011393514,0,4.644990046,1.29157249,0,2.191060473,0,1.99071002,1.29157249,1.503759398,1.752848379,0,0.663570007,0.645786245,0
19X,37.78856694,-122.244962,2498.850575,222.2222222,1013.358779,189.5424837,193.7172775,685.0574713,38.23178017,146.9465649,21.78649237,15.70680628,590.8045977,115.8900836,148.8549618,35.58460421,23.56020942,429.8850575,54.95818399,125.9541985,29.0486565,13.08900524
20X,37.78211501,-122.2308661,2605.150215,101.2956419,335.3115727,281.3299233,65.351418,557.9399142,25.91283863,45.25222552,7.672634271,2.466091245,493.5622318,16.48998822,35.60830861,5.115089514,2.466091245,377.6824034,10.60070671,17.8041543,0,0
21X,37.78828626,-122.2284034,134.2042755,5.070993915,20.11798518,19.93957704,3.423680456,19.79414093,0.60851927,2.11768265,1.208459215,0.285306705,14.25178147,1.014198783,2.571471789,1.510574018,0.570613409,6.334125099,0.811359026,1.210104372,0.906344411,0.285306705
21Y,37.78922516,-122.2187154,97.07241911,8.713942308,32.94607248,13.5301353,5.386565272,12.94298921,1.802884615,4.6818103,0,0,10.16949153,0,4.6818103,0,0.316856781,4.930662558,0,1.21380267,0,0.316856781
