BEATS,BS,WS,HS,AS,OS,BA,WA,HA,AA,OA,BWS,HWS,AWS,OWS,LAT,LONG
01X,776.5957447,104.9723757,157.5562701,29.15254237,107.9812207,69.14893617,2.209944751,9.646302251,0,4.694835681,7.398096305,1.500930784,0.277716325,1.028663207,37.79832501,-122.2722305
02X,547.7916941,211.2676056,242.8940568,59.44517834,238.9937107,70.53394858,14.08450704,10.33591731,2.642007926,0,2.592880686,1.149698536,0.281373844,1.131236897,37.80552105,-122.2866993
02Y,315.1702786,50.29239766,121.0898083,94.11764706,128.0898876,38.39009288,6.432748538,6.054490414,0,0,6.266757866,2.407715955,1.871409029,2.54690358,37.80641613,-122.2972641
03X,1181.528662,244.9494949,279.3650794,51.17324014,210.8262108,101.910828,5.050505051,15.87301587,0.249625562,2.849002849,4.823560313,1.140500736,0.208913434,0.860692572,37.80087857,-122.270037
03Y,522.3880597,144,192.3076923,47.49679076,179.1044776,50.74626866,0,4.273504274,0,0,3.627694859,1.335470085,0.329838825,1.243781095,37.80239275,-122.2751274
04X,227.673844,94.17528579,150.7150715,50.55034651,238.0038388,16.23720438,0.272182907,5.500550055,0.407664085,3.838771593,2.417554054,1.600367551,0.536768708,2.527243074,37.80840825,-122.26995
05X,250.7809014,78.29977629,111.2781955,51.72413793,127.2727273,36.59080768,6.711409396,6.015037594,0,3.636363636,3.202830369,1.421181525,0.660591133,1.625454545,37.81240269,-122.2812487
05Y,74.4047619,27.44425386,50.97087379,16.43192488,27.02702703,13.0952381,1.715265866,9.708737864,0,3.378378378,2.711123512,1.857251214,0.598738263,0.984797297,37.81412061,-122.2926258
06X,347.937484,36.47762895,41.80064309,78.7037037,27.32707088,61.23494748,3.419777714,2.296738631,2.314814815,2.561912895,9.538379932,1.145925442,2.157588252,0.749146029,37.82096746,-122.2716719
07X,458.1757041,32.74853801,68.61063465,35.31598513,31.74603175,103.4047919,3.50877193,14.57975986,1.858736059,0,13.99072239,2.095074737,1.078398832,0.969387755,37.82055088,-122.2795055
08X,266.4473684,70.2049986,88,60.02475248,169.1176471,32.89473684,2.808199944,7.111111111,1.856435644,4.901960784,3.795276316,1.253472,0.854992574,2.408911765,37.8172383,-122.2638986
09X,599.5575221,40.39543208,83.06010929,86.78881389,104.4487427,35.39823009,0.170444861,4.371584699,0,0,14.8422109,2.056175786,2.148480891,2.585657273,37.82547677,-122.2531807
10X,213.6836886,23.37288745,36.61971831,33.95061728,54.79452055,23.30193356,2.517080187,4.225352113,3.086419753,2.739726027,9.142374433,1.566760563,1.452564103,2.344362487,37.83955554,-122.2767038
10Y,440.7582938,60.09615385,81.68028005,225,81.9047619,24.88151659,1.442307692,5.834305718,5,0,7.334218009,1.35915986,3.744,1.362895238,37.83635185,-122.2714226
11X,187.1345029,39.87240829,56.67276051,82.29426434,192.3076923,8.771929825,0.637958533,1.828153565,0,0,4.693333333,1.421352834,2.06394015,4.823076923,37.84005008,-122.2664679
12X,224.0921169,39.83445422,40.13015184,41.53005464,96.77419355,27.45792737,1.293326436,3.253796095,1.092896175,2.93255132,5.625585221,1.007423163,1.042566177,2.4294093,37.8340065,-122.2611625
12Y,144.7902571,19.9825153,31.94888179,26.95871946,83.60128617,12.17861976,0.124890721,0,0,0,7.245847429,1.598841853,1.349115417,4.183721865,37.84225574,-122.255163
13X,60.38647343,18.48428835,21.18003026,18.2767624,34.48275862,9.661835749,0.205380982,1.512859304,0,0,3.266908213,1.145839637,0.988772846,1.865517241,37.83787559,-122.2332971
13Y,22.72727273,4.444444444,2.197802198,2.087682672,49.58677686,4.545454545,0,0,0,0,5.113636364,0.494505495,0.469728601,11.15702479,37.83883564,-122.2182468
13Z,52.63157895,23.51738241,101.5625,14.19213974,78.94736842,0,0,11.71875,0,0,2.23798627,4.31861413,0.603474464,3.356979405,37.82997354,-122.2111867
14X,76.28128725,34.02714932,42.39054899,48.52160728,76.47907648,6.257449344,0.7239819,2.084781098,1.516300227,2.886002886,2.241777192,1.245786081,1.425967448,2.247589881,37.81026468,-122.255267
14Y,48.01324503,14.22222222,46.80851064,11.66180758,23.07692308,4.966887417,0,0,0,0,3.375931291,3.291223404,0.819970845,1.622596154,37.81264545,-122.2478132
15X,92.64305177,18.54820243,30.37249284,29.52308857,28.46054334,4.904632153,0.915960614,2.29226361,0.757002271,1.293661061,4.994718606,1.63748983,1.591695405,1.534409787,37.79927758,-122.2426245
16X,70.51282051,17.85021343,61.8556701,24.28256071,125,8.547008547,1.164144354,10.30927835,0,0,3.950250836,3.465262214,1.360351281,7.002717391,37.80800391,-122.2355787
16Y,58.2010582,16.04621309,21.90923318,14.67268623,32.46753247,5.291005291,0,1.564945227,1.128668172,0,3.627089947,1.365383412,0.914401806,2.023376623,37.80624813,-122.2240454
17X,91.68184578,11.60409556,21.51898734,11.69826543,6.772009029,15.17911354,0,1.898734177,0.403388463,0,7.900817886,1.85443038,1.008115227,0.583587837,37.79435053,-122.2448045
17Y,92.78350515,14.74926254,30.52208835,8.544087491,16.74641148,6.560449859,0.421407501,2.409638554,0.3417635,0,6.290721649,2.06939759,0.579289132,1.135406699,37.80050175,-122.2383837
18X,265.3876898,28.08112324,53.59136584,26.50063857,8.510638298,67.14628297,5.460218409,8.18756978,1.277139208,0.531914894,9.450750511,1.908448083,0.943717185,0.303073286,37.79017043,-122.2393472
18Y,47.76511832,5.488474204,25.21566025,9.686793671,6.015037594,7.011393514,0,4.644990046,1.29157249,0,8.702804557,4.594293298,1.764933807,1.09593985,37.79380935,-122.2334012
19X,2498.850575,222.2222222,1013.358779,189.5424837,193.7172775,685.0574713,38.23178017,146.9465649,21.78649237,15.70680628,11.24482759,4.560114504,0.852941176,0.871727749,37.78856694,-122.244962
20X,2605.150215,101.2956419,335.3115727,281.3299233,65.351418,557.9399142,25.91283863,45.25222552,7.672634271,2.466091245,25.71828526,3.310227037,2.777315173,0.645155278,37.78211501,-122.2308661
21X,134.2042755,5.070993915,20.11798518,19.93957704,3.423680456,19.79414093,0.60851927,2.11768265,1.208459215,0.285306705,26.46508314,3.967266677,3.932084592,0.675149786,37.78828626,-122.2284034
21Y,97.07241911,8.713942308,32.94607248,13.5301353,5.386565272,12.94298921,1.802884615,4.6818103,0,0,11.13989692,3.780845835,1.552699665,0.618154801,37.78922516,-122.2187154
22X,106.0842434,6.627393225,64.33823529,8.665511265,18.01801802,18.72074883,0.368188513,12.86764706,0.866551127,0,16.00693361,9.707924837,1.307529366,2.718718719,37.80079622,-122.2149525
22Y,40.76086957,5.053908356,15.11627907,8.134805346,9.46969697,10.86956522,0,0,1.162115049,0,8.065217391,2.991007752,1.609606818,1.873737374,37.79711318,-122.2001851
